label,sublabel,description,styles,bgcolor
燃やせないごみ,,,,#733b96
危険ごみ・有害ごみ,,,,#77ae1f
燃やせるごみ,,,,#ea3b13
缶類,,,,#2dc7aa
プラスチック製容器包装類,,,,#2dc7cc
